_rowid,ConsultantID,TitleID,StartDate,EndDate,Salary
1,1,101,2021-06-01,2022-07-01,102735.99
2,1,102,2022-07-01,,136100.71
3,2,101,2022-04-01,2022-11-01,106901.73
4,2,102,2022-11-01,2024-09-01,121307.46
5,2,103,2024-09-01,,125293.14
6,3,102,2022-05-01,2024-05-01,114043.64
7,3,103,2024-05-01,2025-07-01,140416.57
8,3,104,2025-07-01,2025-12-01,157873.53
9,4,101,2024-01-01,2025-05-01,107828.94
10,4,102,2025-05-01,,125855.88
11,5,101,2020-03-01,2021-11-01,80000.0
12,5,102,2021-11-01,,113931.09
13,6,104,2023-04-01,2024-09-01,132384.3
14,6,105,2024-09-01,,165411.07
15,7,101,2020-06-01,2021-03-01,91981.63
16,8,101,2021-11-01,2022-11-01,107517.79
17,8,102,2022-11-01,2024-01-01,115477.65
18,8,103,2024-01-01,,125520.19
19,9,102,2021-04-01,2022-03-01,112289.27
20,9,103,2022-03-01,2024-02-01,141863.47
21,10,102,2024-02-01,2025-03-01,127884.22
22,11,101,2024-11-01,2025-12-01,83726.18
23,11,102,2025-12-01,2025-12-01,122736.47
24,12,103,2020-10-01,2021-12-01,151438.27
25,12,104,2021-12-01,2022-10-01,160544.04
26,12,105,2022-10-01,,205670.6
27,13,104,2022-02-01,2023-07-01,173279.8
28,13,105,2023-07-01,,248036.34
29,14,101,2020-08-01,,108095.58
30,15,102,2023-03-01,2024-11-01,132753.41
31,15,103,2024-11-01,,159531.01
32,16,103,2023-08-01,2024-10-01,136411.24
33,17,102,2021-07-01,2023-02-01,120439.89
34,17,103,2023-02-01,2024-04-01,140675.73
35,17,104,2024-04-01,2025-03-01,150523.83
36,18,104,2022-09-01,2023-09-01,159542.27
37,18,105,2023-09-01,,181955.53
38,19,102,2020-01-01,2021-05-01,107587.11
39,19,103,2021-05-01,2023-02-01,162834.31
40,19,104,2023-02-01,2024-05-01,165616.81
41,20,101,2023-01-01,2023-09-01,97912.74
42,21,102,2020-09-01,2021-07-01,101717.97
43,21,103,2021-07-01,2023-04-01,145676.0
44,21,104,2023-04-01,,156061.37
45,22,106,2024-12-01,,198314.28
46,23,106,2023-06-01,,186702.44
47,24,102,2021-04-01,2022-05-01,121897.36
48,24,103,2022-05-01,2024-04-01,140807.31
49,24,104,2024-04-01,,161427.92
50,25,101,2024-10-01,2025-05-01,103770.69
51,25,102,2025-05-01,2025-12-01,111952.44
52,26,102,2023-11-01,2025-11-01,119282.31
53,26,103,2025-11-01,,140497.83
54,27,101,2023-07-01,2025-02-01,111307.2
55,27,102,2025-02-01,,103065.51
56,28,103,2023-06-01,,150583.15
57,29,102,2024-08-01,2025-05-01,120054.84
58,29,103,2025-05-01,,146495.6
59,30,101,2021-04-01,2021-12-01,81376.97
60,30,102,2021-12-01,,126952.84
61,31,106,2024-06-01,,227889.65
62,32,102,2022-07-01,,129256.01
63,33,101,2022-01-01,2022-07-01,107817.2
64,33,102,2022-07-01,2024-03-01,119276.36
65,34,103,2023-11-01,2025-10-01,133927.08
66,35,101,2020-04-01,,90177.2
67,36,103,2020-04-01,2020-11-01,129792.87
68,36,104,2020-11-01,2021-10-01,148068.99
69,37,102,2024-07-01,,107597.94
70,38,101,2024-09-01,,91567.57
71,39,101,2020-06-01,2022-01-01,92905.26
72,39,102,2022-01-01,,109218.03
73,40,103,2021-09-01,,128161.81
74,41,102,2024-01-01,2024-07-01,129089.38
75,42,106,2020-07-01,,203602.56
76,43,104,2024-09-01,2025-10-01,175282.26
77,43,105,2025-10-01,2025-12-01,175316.58
78,43,106,2025-12-01,,220960.23
79,44,106,2024-04-01,,236821.05
80,45,103,2025-01-01,2025-12-01,140905.68
81,46,101,2022-12-01,,98636.76
82,47,103,2024-07-01,2025-09-01,146741.33
83,47,104,2025-09-01,,159692.1
84,48,103,2024-06-01,,161852.13
85,49,103,2023-05-01,2024-04-01,139302.44
86,50,101,2020-05-01,2021-03-01,87352.34
87,50,102,2021-03-01,,126699.22
88,51,101,2021-08-01,,88606.18
89,52,106,2020-03-01,2021-03-01,187722.23
90,53,102,2024-08-01,2025-12-01,106501.98
91,53,103,2025-12-01,2025-12-01,146565.33
92,54,103,2020-12-01,2021-06-01,136694.39
93,55,105,2024-03-01,2025-04-01,176290.71
94,56,104,2024-07-01,,194997.42
95,57,105,2021-11-01,,184040.03
96,58,101,2021-10-01,,93102.98
97,59,103,2021-11-01,,120000.0
98,60,105,2020-08-01,2021-10-01,213222.43
99,60,106,2021-10-01,,215277.08
