RegionID,State,City,created_at
1,South Carolina,West Efrenside,
2,Louisiana,Hillsboro,
3,New Mexico,Mayafort,
4,West Virginia,Joeyside,
5,Colorado,Carolina,
6,Wisconsin,Brockton,
7,New York,Wehnermouth,
8,Oregon,West Bud,
9,New Jersey,Fort Gracieville,
10,Alabama,Sauermouth,
11,Utah,Fort Amir,
12,Delaware,Hudsonchester,
13,Kentucky,West Lisahaven,
14,Pennsylvania,Streichchester,
15,New Mexico,North Leilastead,
16,Montana,DeKalb,
17,Iowa,North Douglashaven,
18,Virginia,North Reynoldcester,
19,Tennessee,Lizzieville,
20,Texas,Estefaniaboro,
21,Ohio,Fort Bertramshire,
22,Maine,Noemieville,
23,Nevada,Centreville,
24,West Virginia,Montebello,
25,Idaho,Rosenbaumcester,
26,Ohio,Spencerview,
27,Georgia,Blandastead,
28,Illinois,Town 'n' Country,
29,Nebraska,New Deronside,
30,Colorado,Reichelborough,
